Invoice ID,Branch,Customer type,Product line,Total,Date,Rating,Hour
INV-1000,C,Member,Health & Beauty,306.97,2024-01-01 00:00:00,4.2,0
INV-1001,A,Member,Electronic accessories,980.37,2024-01-01 03:00:00,6.9,3
INV-1002,C,Member,Sports & Travel,609.84,2024-01-01 06:00:00,8.0,6
INV-1003,C,Member,Food & beverages,590.77,2024-01-01 09:00:00,4.7,9
INV-1004,A,Normal,Home & Lifestyle,753.11,2024-01-01 12:00:00,5.7,12
INV-1005,A,Member,Fashion accessories,815.53,2024-01-01 15:00:00,6.4,15
INV-1006,C,Normal,Home & Lifestyle,663.35,2024-01-01 18:00:00,9.5,18
INV-1007,B,Normal,Fashion accessories,145.53,2024-01-01 21:00:00,10.0,21
INV-1008,C,Member,Electronic accessories,351.5,2024-01-02 00:00:00,4.3,0
INV-1009,C,Normal,Health & Beauty,929.52,2024-01-02 03:00:00,8.6,3
INV-1010,C,Normal,Electronic accessories,240.12,2024-01-02 06:00:00,6.2,6
INV-1011,C,Normal,Sports & Travel,384.72,2024-01-02 09:00:00,6.4,9
INV-1012,A,Normal,Sports & Travel,443.44,2024-01-02 12:00:00,8.5,12
INV-1013,C,Member,Fashion accessories,450.62,2024-01-02 15:00:00,9.5,15
INV-1014,B,Normal,Food & beverages,620.68,2024-01-02 18:00:00,9.7,18
INV-1015,A,Member,Food & beverages,944.21,2024-01-02 21:00:00,7.5,21
INV-1016,B,Normal,Fashion accessories,255.88,2024-01-03 00:00:00,6.1,0
INV-1017,B,Normal,Sports & Travel,139.07,2024-01-03 03:00:00,8.7,3
INV-1018,B,Member,Sports & Travel,213.52,2024-01-03 06:00:00,5.5,6
INV-1019,B,Normal,Sports & Travel,889.19,2024-01-03 09:00:00,7.4,9
INV-1020,A,Normal,Electronic accessories,652.89,2024-01-03 12:00:00,6.2,12
INV-1021,A,Normal,Sports & Travel,300.19,2024-01-03 15:00:00,7.9,15
INV-1022,B,Member,Home & Lifestyle,819.63,2024-01-03 18:00:00,5.4,18
INV-1023,B,Normal,Health & Beauty,864.14,2024-01-03 21:00:00,5.1,21
INV-1024,A,Member,Sports & Travel,849.58,2024-01-04 00:00:00,9.5,0
INV-1025,A,Normal,Fashion accessories,920.55,2024-01-04 03:00:00,4.6,3
INV-1026,A,Member,Health & Beauty,267.2,2024-01-04 06:00:00,7.0,6
INV-1027,C,Member,Electronic accessories,759.94,2024-01-04 09:00:00,5.3,9
INV-1028,C,Normal,Fashion accessories,471.33,2024-01-04 12:00:00,4.2,12
INV-1029,C,Normal,Health & Beauty,845.16,2024-01-04 15:00:00,4.2,15
INV-1030,B,Member,Fashion accessories,733.92,2024-01-04 18:00:00,5.1,18
INV-1031,C,Member,Electronic accessories,780.92,2024-01-04 21:00:00,9.2,21
INV-1032,B,Normal,Home & Lifestyle,663.04,2024-01-05 00:00:00,5.7,0
INV-1033,B,Member,Electronic accessories,193.88,2024-01-05 03:00:00,9.7,3
INV-1034,C,Normal,Electronic accessories,554.13,2024-01-05 06:00:00,7.5,6
INV-1035,B,Normal,Fashion accessories,984.98,2024-01-05 09:00:00,6.6,9
INV-1036,C,Normal,Food & beverages,938.64,2024-01-05 12:00:00,7.5,12
INV-1037,C,Normal,Sports & Travel,62.31,2024-01-05 15:00:00,7.1,15
INV-1038,A,Member,Sports & Travel,181.52,2024-01-05 18:00:00,8.6,18
INV-1039,C,Normal,Home & Lifestyle,149.09,2024-01-05 21:00:00,5.7,21
INV-1040,A,Member,Home & Lifestyle,731.46,2024-01-06 00:00:00,6.1,0
INV-1041,C,Normal,Sports & Travel,821.43,2024-01-06 03:00:00,9.4,3
INV-1042,C,Member,Food & beverages,229.24,2024-01-06 06:00:00,9.7,6
INV-1043,A,Normal,Sports & Travel,515.74,2024-01-06 09:00:00,9.4,9
INV-1044,A,Member,Food & beverages,843.89,2024-01-06 12:00:00,6.5,12
INV-1045,C,Member,Home & Lifestyle,738.15,2024-01-06 15:00:00,8.7,15
INV-1046,B,Normal,Health & Beauty,551.39,2024-01-06 18:00:00,6.9,18
INV-1047,A,Normal,Fashion accessories,598.54,2024-01-06 21:00:00,7.0,21
INV-1048,B,Normal,Home & Lifestyle,518.19,2024-01-07 00:00:00,5.2,0
INV-1049,B,Normal,Home & Lifestyle,311.6,2024-01-07 03:00:00,7.5,3
INV-1050,B,Member,Electronic accessories,573.72,2024-01-07 06:00:00,5.1,6
INV-1051,A,Normal,Electronic accessories,695.11,2024-01-07 09:00:00,6.0,9
INV-1052,B,Member,Electronic accessories,875.86,2024-01-07 12:00:00,9.1,12
INV-1053,A,Member,Fashion accessories,643.57,2024-01-07 15:00:00,5.2,15
INV-1054,B,Normal,Electronic accessories,765.9,2024-01-07 18:00:00,4.4,18
INV-1055,C,Member,Food & beverages,176.87,2024-01-07 21:00:00,4.4,21
INV-1056,C,Member,Sports & Travel,472.33,2024-01-08 00:00:00,9.6,0
INV-1057,A,Member,Health & Beauty,29.14,2024-01-08 03:00:00,7.0,3
INV-1058,C,Member,Home & Lifestyle,261.75,2024-01-08 06:00:00,6.5,6
INV-1059,C,Normal,Food & beverages,731.93,2024-01-08 09:00:00,8.9,9
INV-1060,B,Normal,Health & Beauty,991.97,2024-01-08 12:00:00,9.0,12
INV-1061,A,Normal,Food & beverages,117.19,2024-01-08 15:00:00,6.0,15
INV-1062,B,Normal,Food & beverages,413.46,2024-01-08 18:00:00,8.2,18
INV-1063,B,Member,Home & Lifestyle,804.07,2024-01-08 21:00:00,8.6,21
INV-1064,B,Member,Sports & Travel,219.95,2024-01-09 00:00:00,7.9,0
INV-1065,B,Normal,Electronic accessories,563.98,2024-01-09 03:00:00,4.9,3
INV-1066,B,Normal,Fashion accessories,738.41,2024-01-09 06:00:00,9.3,6
INV-1067,B,Normal,Sports & Travel,623.67,2024-01-09 09:00:00,7.2,9
INV-1068,B,Member,Fashion accessories,204.26,2024-01-09 12:00:00,5.7,12
INV-1069,A,Normal,Home & Lifestyle,368.28,2024-01-09 15:00:00,6.6,15
INV-1070,C,Normal,Home & Lifestyle,788.12,2024-01-09 18:00:00,4.2,18
INV-1071,B,Normal,Home & Lifestyle,563.14,2024-01-09 21:00:00,4.8,21
INV-1072,B,Member,Health & Beauty,25.13,2024-01-10 00:00:00,8.6,0
INV-1073,B,Member,Fashion accessories,765.77,2024-01-10 03:00:00,4.0,3
INV-1074,B,Member,Sports & Travel,54.61,2024-01-10 06:00:00,6.5,6
INV-1075,B,Member,Sports & Travel,750.82,2024-01-10 09:00:00,7.1,9
INV-1076,B,Member,Food & beverages,218.43,2024-01-10 12:00:00,4.3,12
INV-1077,C,Member,Food & beverages,958.91,2024-01-10 15:00:00,9.8,15
INV-1078,C,Member,Food & beverages,380.58,2024-01-10 18:00:00,5.4,18
INV-1079,B,Member,Home & Lifestyle,340.39,2024-01-10 21:00:00,5.8,21
INV-1080,C,Normal,Sports & Travel,165.91,2024-01-11 00:00:00,5.8,0
INV-1081,A,Normal,Fashion accessories,319.49,2024-01-11 03:00:00,5.4,3
INV-1082,B,Member,Home & Lifestyle,879.12,2024-01-11 06:00:00,4.0,6
INV-1083,A,Member,Health & Beauty,996.41,2024-01-11 09:00:00,8.4,9
INV-1084,A,Normal,Food & beverages,380.94,2024-01-11 12:00:00,9.8,12
INV-1085,B,Member,Home & Lifestyle,459.64,2024-01-11 15:00:00,5.3,15
INV-1086,C,Member,Home & Lifestyle,727.63,2024-01-11 18:00:00,8.0,18
INV-1087,A,Member,Health & Beauty,888.47,2024-01-11 21:00:00,8.5,21
INV-1088,B,Normal,Electronic accessories,601.18,2024-01-12 00:00:00,9.1,0
INV-1089,A,Normal,Sports & Travel,403.7,2024-01-12 03:00:00,6.5,3
INV-1090,A,Normal,Fashion accessories,424.37,2024-01-12 06:00:00,5.8,6
INV-1091,A,Normal,Electronic accessories,701.71,2024-01-12 09:00:00,6.0,9
INV-1092,A,Normal,Food & beverages,23.15,2024-01-12 12:00:00,8.3,12
INV-1093,C,Member,Home & Lifestyle,627.2,2024-01-12 15:00:00,8.9,15
INV-1094,A,Normal,Health & Beauty,368.38,2024-01-12 18:00:00,5.1,18
INV-1095,A,Member,Health & Beauty,798.31,2024-01-12 21:00:00,6.2,21
INV-1096,A,Member,Sports & Travel,111.13,2024-01-13 00:00:00,9.4,0
INV-1097,C,Normal,Electronic accessories,596.44,2024-01-13 03:00:00,8.8,3
INV-1098,A,Normal,Sports & Travel,491.35,2024-01-13 06:00:00,9.9,6
INV-1099,A,Member,Home & Lifestyle,649.48,2024-01-13 09:00:00,8.5,9
INV-1100,C,Member,Sports & Travel,83.56,2024-01-13 12:00:00,6.4,12
INV-1101,C,Member,Fashion accessories,588.38,2024-01-13 15:00:00,7.5,15
INV-1102,C,Normal,Health & Beauty,570.25,2024-01-13 18:00:00,8.0,18
INV-1103,A,Normal,Health & Beauty,569.45,2024-01-13 21:00:00,4.5,21
INV-1104,C,Normal,Food & beverages,611.42,2024-01-14 00:00:00,7.3,0
INV-1105,C,Normal,Food & beverages,682.94,2024-01-14 03:00:00,8.3,3
INV-1106,A,Normal,Home & Lifestyle,808.89,2024-01-14 06:00:00,5.0,6
INV-1107,C,Member,Fashion accessories,284.42,2024-01-14 09:00:00,8.7,9
INV-1108,A,Normal,Electronic accessories,828.55,2024-01-14 12:00:00,7.5,12
INV-1109,B,Member,Sports & Travel,508.29,2024-01-14 15:00:00,9.7,15
INV-1110,C,Member,Home & Lifestyle,95.52,2024-01-14 18:00:00,4.3,18
INV-1111,B,Member,Food & beverages,77.38,2024-01-14 21:00:00,5.6,21
INV-1112,A,Normal,Sports & Travel,347.55,2024-01-15 00:00:00,7.6,0
INV-1113,C,Normal,Food & beverages,789.2,2024-01-15 03:00:00,5.8,3
INV-1114,A,Normal,Sports & Travel,713.53,2024-01-15 06:00:00,8.3,6
INV-1115,B,Member,Electronic accessories,792.84,2024-01-15 09:00:00,8.6,9
INV-1116,A,Member,Home & Lifestyle,526.92,2024-01-15 12:00:00,4.6,12
INV-1117,C,Member,Sports & Travel,451.4,2024-01-15 15:00:00,7.1,15
INV-1118,C,Member,Fashion accessories,164.5,2024-01-15 18:00:00,7.1,18
INV-1119,B,Member,Health & Beauty,341.63,2024-01-15 21:00:00,6.2,21
INV-1120,A,Member,Fashion accessories,445.34,2024-01-16 00:00:00,9.6,0
INV-1121,C,Normal,Fashion accessories,106.83,2024-01-16 03:00:00,9.0,3
INV-1122,B,Normal,Health & Beauty,236.2,2024-01-16 06:00:00,8.2,6
INV-1123,C,Normal,Fashion accessories,606.26,2024-01-16 09:00:00,8.3,9
INV-1124,C,Normal,Sports & Travel,740.95,2024-01-16 12:00:00,6.8,12
INV-1125,A,Member,Sports & Travel,998.38,2024-01-16 15:00:00,9.5,15
INV-1126,C,Member,Sports & Travel,934.45,2024-01-16 18:00:00,8.2,18
INV-1127,A,Normal,Health & Beauty,649.71,2024-01-16 21:00:00,8.4,21
INV-1128,C,Member,Fashion accessories,432.82,2024-01-17 00:00:00,9.2,0
INV-1129,B,Normal,Health & Beauty,643.45,2024-01-17 03:00:00,5.6,3
INV-1130,C,Normal,Sports & Travel,789.94,2024-01-17 06:00:00,8.8,6
INV-1131,A,Normal,Fashion accessories,135.97,2024-01-17 09:00:00,5.2,9
INV-1132,A,Member,Fashion accessories,421.71,2024-01-17 12:00:00,6.1,12
INV-1133,B,Normal,Food & beverages,843.01,2024-01-17 15:00:00,6.0,15
INV-1134,C,Normal,Food & beverages,396.16,2024-01-17 18:00:00,9.9,18
INV-1135,C,Normal,Electronic accessories,580.43,2024-01-17 21:00:00,9.1,21
INV-1136,B,Member,Home & Lifestyle,596.01,2024-01-18 00:00:00,8.2,0
INV-1137,C,Member,Food & beverages,200.79,2024-01-18 03:00:00,8.4,3
INV-1138,C,Normal,Health & Beauty,374.99,2024-01-18 06:00:00,7.4,6
INV-1139,A,Member,Food & beverages,347.82,2024-01-18 09:00:00,9.7,9
INV-1140,C,Member,Electronic accessories,45.67,2024-01-18 12:00:00,7.0,12
INV-1141,C,Member,Fashion accessories,43.71,2024-01-18 15:00:00,6.3,15
INV-1142,B,Member,Electronic accessories,835.06,2024-01-18 18:00:00,5.0,18
INV-1143,B,Member,Fashion accessories,287.61,2024-01-18 21:00:00,8.7,21
INV-1144,A,Member,Fashion accessories,527.72,2024-01-19 00:00:00,8.4,0
INV-1145,C,Member,Home & Lifestyle,312.75,2024-01-19 03:00:00,6.3,3
INV-1146,C,Member,Food & beverages,941.87,2024-01-19 06:00:00,4.2,6
INV-1147,C,Member,Health & Beauty,274.11,2024-01-19 09:00:00,9.0,9
INV-1148,A,Member,Health & Beauty,441.06,2024-01-19 12:00:00,4.1,12
INV-1149,A,Normal,Sports & Travel,875.28,2024-01-19 15:00:00,8.2,15
INV-1150,B,Normal,Fashion accessories,845.09,2024-01-19 18:00:00,9.8,18
INV-1151,A,Member,Health & Beauty,202.38,2024-01-19 21:00:00,6.6,21
INV-1152,C,Normal,Home & Lifestyle,806.59,2024-01-20 00:00:00,5.4,0
INV-1153,C,Normal,Fashion accessories,469.02,2024-01-20 03:00:00,8.2,3
INV-1154,A,Member,Home & Lifestyle,493.31,2024-01-20 06:00:00,8.9,6
INV-1155,C,Member,Health & Beauty,150.81,2024-01-20 09:00:00,7.3,9
INV-1156,C,Member,Health & Beauty,98.99,2024-01-20 12:00:00,9.8,12
INV-1157,A,Normal,Sports & Travel,733.38,2024-01-20 15:00:00,4.3,15
INV-1158,A,Normal,Health & Beauty,506.53,2024-01-20 18:00:00,7.0,18
INV-1159,C,Member,Fashion accessories,448.11,2024-01-20 21:00:00,8.3,21
INV-1160,C,Member,Fashion accessories,734.92,2024-01-21 00:00:00,9.2,0
INV-1161,C,Member,Fashion accessories,770.2,2024-01-21 03:00:00,5.1,3
INV-1162,B,Normal,Sports & Travel,175.73,2024-01-21 06:00:00,8.8,6
INV-1163,B,Normal,Sports & Travel,618.02,2024-01-21 09:00:00,7.3,9
INV-1164,B,Normal,Health & Beauty,152.65,2024-01-21 12:00:00,6.4,12
INV-1165,A,Normal,Electronic accessories,756.35,2024-01-21 15:00:00,4.8,15
INV-1166,B,Member,Electronic accessories,663.82,2024-01-21 18:00:00,9.2,18
INV-1167,A,Member,Sports & Travel,957.48,2024-01-21 21:00:00,4.9,21
INV-1168,A,Member,Health & Beauty,87.58,2024-01-22 00:00:00,5.9,0
INV-1169,B,Member,Electronic accessories,75.91,2024-01-22 03:00:00,5.7,3
